z,gmo,dodecane,total
29.5,5.0000000000000315e-09,5.355e-06,5.36e-06
30.0,-5.000000000000025e-09,5.474999999999999e-06,5.469999999999999e-06
30.5,-9.99999999999997e-09,5.5399999999999995e-06,5.5299999999999996e-06
31.0,-1.0000000000000023e-08,5.6e-06,5.59e-06
31.5,-2.999999999999999e-08,5.66e-06,5.63e-06
32.0,-2.9999999999999984e-08,5.734999999999999e-06,5.705e-06
32.5,-2.4999999999999972e-08,5.815e-06,5.7900000000000005e-06
33.0,-2.000000000000002e-08,5.845e-06,5.825e-06
33.5,-1.499999999999999e-08,5.94e-06,5.925e-06
34.0,-2.4999999999999972e-08,5.98e-06,5.955000000000001e-06
34.5,-2.5e-08,6.04e-06,6.015e-06
35.0,-1.5000000000000015e-08,6.065e-06,6.0500000000000005e-06
35.5,-1.499999999999999e-08,6.075e-06,6.0600000000000004e-06
36.0,-1.499999999999999e-08,6.125000000000001e-06,6.110000000000001e-06
36.5,-1.499999999999999e-08,6.15e-06,6.1350000000000006e-06
37.0,-1.000000000000001e-08,6.174999999999999e-06,6.164999999999999e-06
37.5,-9.999999999999997e-09,6.21e-06,6.2e-06
38.0,-5.000000000000005e-09,6.264999999999999e-06,6.259999999999999e-06
38.5,-1.5000000000000002e-08,6.3100000000000006e-06,6.295000000000001e-06
39.0,-9.999999999999997e-09,6.279999999999999e-06,6.269999999999999e-06
39.5,-5.000000000000005e-09,6.315e-06,6.31e-06
40.0,-4.9999999999999985e-09,6.3200000000000005e-06,6.3150000000000005e-06
40.5,-9.999999999999997e-09,6.36e-06,6.35e-06
41.0,-9.999999999999997e-09,6.354999999999999e-06,6.344999999999999e-06
41.5,-5.000000000000005e-09,6.370000000000001e-06,6.365000000000001e-06
42.0,-4.9999999999999985e-09,6.435e-06,6.43e-06
42.5,-9.999999999999997e-09,6.42e-06,6.4100000000000005e-06
43.0,0.0,6.43e-06,6.43e-06
43.5,-5.000000000000002e-09,6.415e-06,6.4100000000000005e-06
44.0,0.0,6.425e-06,6.425e-06
44.5,0.0,6.415e-06,6.415e-06
45.0,-5e-09,6.43e-06,6.425e-06
45.5,-1e-08,6.44e-06,6.43e-06
46.0,-5e-09,6.445e-06,6.44e-06
46.5,0.0,6.46e-06,6.46e-06
47.0,0.0,6.47e-06,6.47e-06
47.5,0.0,6.485e-06,6.485e-06
48.0,0.0,6.45e-06,6.45e-06
48.5,0.0,6.455e-06,6.455e-06
49.0,0.0,6.485e-06,6.485e-06
49.5,0.0,6.46e-06,6.46e-06
50.0,0.0,6.49e-06,6.49e-06
50.5,0.0,6.475e-06,6.475e-06
51.0,0.0,6.49e-06,6.49e-06
51.5,0.0,6.46e-06,6.46e-06
52.0,0.0,6.455e-06,6.455e-06
52.5,0.0,6.455e-06,6.455e-06
53.0,0.0,6.44e-06,6.44e-06
53.5,0.0,6.46e-06,6.46e-06
54.0,0.0,6.47e-06,6.47e-06
54.5,0.0,6.470000000000001e-06,6.470000000000001e-06
55.0,0.0,6.49e-06,6.49e-06
55.5,0.0,6.45e-06,6.45e-06
56.0,0.0,6.46e-06,6.46e-06
56.5,0.0,6.455e-06,6.455e-06
57.0,0.0,6.47e-06,6.47e-06
57.5,0.0,6.445e-06,6.445e-06
58.0,0.0,6.5e-06,6.5e-06
58.5,0.0,6.455e-06,6.455e-06
59.0,0.0,6.475e-06,6.475e-06
59.5,0.0,6.47e-06,6.47e-06
